ra;fase;turma;idade;ano_ingresso;pedra;inde;classificacao_geral;classificacao_fase;classificacao_turma;recomendacao_avaliador_1;recomendacao_avaliador_2;recomendacao_avaliador_3;recomendacao_avaliador_4;iaa;ieg;ips;recomendacao_psicologia;ida;nota_matematica;nota_portugues;nota_ingles;indicado_bolsa;atingiu_ponto_virada;ipv;ian;fase_ideal;defasagem;destaque_ieg;destaque_ida;destaque_ipv;ipp;ano;feminino;masculino;formado;instituicao_nao_informada;instituicao_privada;instituicao_publica;pedra_oe;rec_aval_1_oe;rec_aval_2_oe;rec_aval_3_oe;rec_aval_4_oe;recomendacao_psicologia_le
RA-1;7;A;19;2016;quartzo;5.783;753.0;18.0;10.0;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;8.3;4.1;5.6;Requer avaliação;4.0;2.7;3.5;6.0;1;0;7.278;5.0;8;-1.0;0;0;0;7.96875;2022;1;0;0;0;0;1;0;2;5;4;2;3
RA-2;7;A;17;2017;ametista;7.055;469.0;8.0;3.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;8.8;5.2;6.3;Sem limitações;6.8;6.3;4.5;9.7;0;0;6.778;10.0;7;0.0;0;0;0;7.8125;2022;1;0;0;0;1;0;2;4;5;4;5;4
RA-3;7;A;17;2016;agata;6.591;629.0;13.0;6.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;0.0;7.9;5.6;Sem limitações;5.6;5.8;4.0;6.9;0;0;7.556;10.0;7;0.0;1;0;1;8.125;2022;1;0;0;0;1;0;1;4;5;5;5;4
RA-4;7;A;17;2017;quartzo;5.951;731.0;15.0;7.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;8.8;4.5;5.6;Requer avaliação;5.0;2.8;3.5;8.7;0;0;5.278;10.0;7;0.0;0;0;0;5.625;2022;0;1;0;0;1;0;0;4;2;2;2;3
RA-5;7;A;17;2016;ametista;7.427;344.0;6.0;2.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;7.9;8.6;5.6;Requer avaliação;5.2;7.0;2.9;5.7;0;0;7.389;10.0;7;0.0;1;0;0;8.28125;2022;1;0;0;0;1;0;2;4;5;5;5;3
RA-6;7;A;18;2021;quartzo;5.848;745.0;16.0;8.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;7.9;4.5;7.5;Sem limitações;3.3;2.3;5.3;2.3;1;0;7.222;5.0;8;-1.0;0;0;0;7.96875;2022;1;0;0;0;0;1;0;4;5;5;2;4
RA-7;7;A;18;2017;agata;6.818;550.0;11.0;5.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;0.0;8.4;7.5;Sem limitações;7.6;8.2;5.7;9.0;0;0;7.667;5.0;8;-1.0;1;1;1;8.28125;2022;0;1;0;0;1;0;1;4;5;5;2;4
RA-8;7;A;20;2018;quartzo;4.786;836.0;21.0;13.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;7.1;4.6;6.3;Requer avaliação;1.6;1.2;0.7;2.9;0;0;6.278;5.0;8;-1.0;0;0;0;4.53125;2022;1;0;0;0;0;1;0;2;2;2;2;3
RA-9;7;A;18;2019;topazio;8.109;113.0;1.0;1.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;8.8;9.5;7.5;Sem limitações;6.7;5.5;6.0;8.7;1;1;9.5;5.0;8;-1.0;1;0;1;8.4375;2022;1;0;0;0;0;1;3;4;2;5;3;4
RA-10;7;A;18;2021;quartzo;5.784;752.0;17.0;9.0;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;8.3;5.2;5.0;Requer avaliação;4.1;3.3;2.6;6.4;0;0;7.056;5.0;8;-1.0;0;0;0;6.71875;2022;1;0;0;0;0;1;0;4;2;2;2;3
